"Kiedy wojska niemieckie przekroczyły polską granicę, rozpoczynając II wojnę światową?",1 września 1939 r.
Który sojusznik Adolfa Hitlera zaatakował Polskę od wschodu 17 września 1939 roku?,Józef Stalin (Związek Sowiecki).
Gdzie kierowano polskie pociągi deportacyjne podczas zimy 1939/1940?,"Do gułagów w Kazachstanie, na Syberii i w innych regionach ZSRS."
"Jak nazywa się miejsce pod Smoleńskiem, gdzie wiosną 1940 r. zamordowano tysiące polskich jeńców wojennych?",Katyń.
Kto został dowódcą Polskich Sił Zbrojnych w ZSRS po zawarciu układu polsko-sowieckiego w 1941 roku?,Gen. Władysław Anders.
Z ilu dywizji składał się 2 Korpus Polskich Sił Zbrojnych na Zachodzie?,Z dwóch dywizji.
Kto sprawował dowództwo nad 3 Dywizją Strzelców Karpackich (3 DSK)?,Gen. bryg. Bronisław Duch.
Z jakich żołnierzy składała się głównie 5 Kresowa Dywizja Piechoty?,Z dawnych łagierników i zesłańców uratowanych z ZSRS.
Kto dowodził 5 Kresową Dywizją Piechoty (5 KDP)?,Gen. bryg. Nikodem Sulik.
Jakie bataliony strzelców wchodziły w skład 5 Wileńskiej Brygady Piechoty?,"13 „Rysie”, 14 „Żbiki” i 15 „Wilki”."
Kto był dowódcą 2 Brygady Pancernej wchodzącej w skład 2 Korpusu?,Gen. bryg. Bronisław Rakowski.
Który pułk pancerny 2 Korpusu Polskiego nosił nazwę „Skorpion”?,Pułk 4 Pancerny.
"Jak nazywała się ochotnicza formacja kobieca w PSZ, potocznie zwana „Pestkami”?",Pomocnicza Służba Kobiet (PSK).
Kto pełnił funkcję inspektorki Pomocniczej Służby Kobiet przy 2 Korpusie?,Płk Bronisława Wysłouchowa.
Kto był biskupem polowym żołnierzy 2 Korpusu Polskiego?,Bp Józef Gawlina.
Jak nazywał się najpopularniejszy tygodnik wydawany przez 2 Korpus Polski?,„Orzeł Biały”.
Która aliancka grupa armii wylądowała na Sycylii w lipcu 1943 roku?,15 Grupa Armii.
Kto dowodził 15 Grupą Armii podczas lądowania na Sycylii?,Marsz. Harold Alexander.
"Jak nazywała się główna niemiecka linia obronna, której kluczowym punktem było Monte Cassino?",Linia Gustawa.
Dlaczego dolina rzeki Liri była kluczowa dla aliantów podczas ofensywy we Włoszech?,Stanowiła jedyną drogę na Rzym umożliwiającą przemarsz jednostek zmotoryzowanych i pancernych.
Kto założył klasztor na wzgórzu Monte Cassino w 529 roku?,Św. Benedykt z Nursji.
Kto był założycielką opactwa żeńskiego w Monte Cassino i siostrą św. Benedykta?,Św. Scholastyka.
Jak nazywał się opat klasztoru na Monte Cassino w 1943 roku?,Bp Gregorio Diamare.
Którzy niemieccy oficerowie nakłonili opata do ewakuacji zbiorów klasztornych do Rzymu?,Ppłk Julius Schlegel i kpt. dr Maximilian Becker.
Kto dowodził obroną całości linii Gustawa po stronie niemieckiej?,Gen. por. Fridolin von Senger und Etterlin.
Która elitarna jednostka spadochronowa Luftwaffe obsadziła pozycje na linii Gustawa?,1 Dywizja Strzelców Spadochronowych.
Kto dowodził niemiecką Dywizją Pancerno-Spadochronową „Hermann Göring”?,Gen. mjr Wilhelm Schmalz.
