127.0.0.1 - - [20/Mar/2026 18:07:54] "HEAD /index.html HTTP/1.1" 200 -
127.0.0.1 - - [20/Mar/2026 19:53:37] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [20/Mar/2026 19:53:37] "GET /game.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Mar/2026 20:42:20] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [20/Mar/2026 20:42:20] "GET /game.js HTTP/1.1" 200 -
127.0.0.1 - - [20/Mar/2026 20:43:29] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [20/Mar/2026 20:43:29] "GET /game.js HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:52:10] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:52:10] "GET /game.js HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:52:34] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:52:34] "GET /game.js HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:53:03] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:53:03] "GET /game.js HTTP/1.1" 200 -
