Jaką funkcję w 3 Dywizji Strzelców Karpackich pełnił 12 Pułk Ułanów Podolskich?,Był to rozpoznawczy pułk kawalerii pancernej.
W skład której dywizji wchodziła 6 Lwowska Brygada Piechoty?,Wchodziła w skład 5 Kresowej Dywizji Piechoty.
Która polska jednostka pancerna wspierała natarcie piechoty na Piedimonte?,Pułk 6 Pancerny „Dzieci Lwowskich”.
Jakie główne formacje wojskowe podległe Polsce dowodził gen. dyw. Władysław Anders?,"Armię Polską w ZSRS, Armię Polską na Wschodzie i 2 Korpus Polski."
Kto w 3 Dywizji Strzelców Karpackich otrzymał Order Virtuti Militari za walki na Linii Hitlera?,Kpr. Franciszek Kurak.
Pod czyim dowództwem znajdowała się Nowozelandzka 2 Dywizja Piechoty?,Gen. mjr. Howarda Kippenbergera.
Termin: Thompson M1,Amerykański pistolet maszynowy znany powszechnie jako „Tommy gun”.
Jakie działo stanowiło podstawę artylerii polowej dywizji brytyjskich podczas II wojny światowej?,"Haubicoarmata 25-funtowa (87,6 mm)."
Która konferencja z lutego 1945 r. zdecydowała o oddaniu państw Europy Środkowej pod wpływy ZSRS?,Konferencja w Jałcie.
Kto pełnił funkcję biskupa polowego Polskich Sił Zbrojnych?,Bp Józef Gawlina.
Który generał stał na czele amerykańskiej 5 Armii podczas walk o Monte Cassino?,Gen. por. Mark Wayne Clark.
Czym był Corpo Italiano di Liberazione?,Włoskim Korpusem Wyzwolenia sformowanym w marcu 1944 r. w ramach sił alianckich.
Jaki środek transportu był najskuteczniejszy do dostarczania zaopatrzenia w trudnym górskim terenie?,Muł.
Kto dowodził Włoskim Korpusem Wyzwolenia w składzie 15 Grupy Armii?,Gen. Umberto Utili.
Jaką funkcję w wojsku pełniła płk Bronisława Wysłouchowa?,Była inspektorem Pomocniczej Służby Kobiet.
Czym był PIAT w arsenale wojsk brytyjskich?,Był to brytyjski granatnik przeciwpancerny.
Co transportowały sowieckie pociągi deportacyjne podczas wojny?,Setki tysięcy Polaków wywożonych w głąb ZSRS.
Pod czyim dowództwem znajdowała się brytyjska 78 Dywizja Piechoty „Battleaxe”?,Gen. mjr. Charlesa Keightleya.
Które polskie miasto obecnie znajduje się w granicach niepodległej Litwy?,Wilno.
Jakie jest najwyższe polskie odznaczenie wojskowe nadawane za męstwo na polu walki?,Order Wojenny Virtuti Militari.
Kto dowodził 5 Kresową Dywizją Piechoty w ramach 2 Korpusu Polskiego?,Gen. bryg. Nikodem Sulik.
Agresja którego państwa na Polskę była realizacją tajnego protokołu paktu Ribbentrop-Mołotow?,ZSRS (Armii Czerwonej).
Jaką nazwę nosiła amerykańska 34 Dywizja Piechoty dowodzona przez gen. mjr. Charlesa W. Rydera?,„Czerwone Byki”.
Kto zajmował stanowisko Naczelnego Wodza Polskich Sił Zbrojnych w latach 1943–1944?,Gen. Kazimierz Sosnkowski.
Który batalion piechoty wchodzący w skład 5 Kresowej Dywizji Piechoty nosił przydomek „Wilki”?,15 Wileński Batalion Strzelców.
Przez kogo i w którym wieku zostało założone opactwo Monte Cassino?,Przez św. Benedykta w VI wieku.
Czym był ruch pod nazwą „Wolna Francja”?,Ruchem polityczno-wojskowym pod wodzą gen. Charles’a de Gaulle’a kontynuującym walkę z Niemcami.
Termin: Universal Carrier,Brytyjski gąsienicowy lekki transporter opancerzony.
Jakie odznaczenie ustanowiono specjalnie dla żołnierzy 2 Korpusu Polskiego za walki o klasztor?,Krzyż Pamiątkowy Monte Cassino.
Gdzie polski żołnierz sił lądowych umieszczał znak orła wojskowego?,Na nakryciu głowy.
Kto dowodził 2 Brygadą Pancerną 2 Korpusu Polskiego?,Gen. Bronisław Rakowski.
Które z miast odebranych Polsce przez ZSRS znajduje się obecnie w granicach Ukrainy?,Lwów.
Jak potocznie nazywano ochotniczki Pomocniczej Służby Kobiet (PSK)?,„Pestki”.
Kto dowodził brytyjskim XIII Korpusem w składzie 8 Armii?,Gen. por. Sidney Kirkman.
Kto pełnił funkcję zastępcy dowódcy 5 Kresowej Dywizji Piechoty?,Płk dypl. Klemens Rudnicki.
Kto był dowódcą brytyjskiej 8 Armii podczas kampanii włoskiej?,Gen. por. Oliver Leese.
Które jednostki alianckie dokonały nieudanego forsowania rzeki Garigliano 17 stycznia 1944 r.?,Amerykańska 5 Armia i brytyjski X Korpus.
Kto jest uznawany za patrona Europy oraz założyciela zakonu benedyktynów?,Św. Benedykt z Nursji.
Przez jaki okres czasu brytyjski RKM Bren był używany w wojsku?,Od czasów II wojny światowej aż do 1991 roku.
Za co przyznawano brytyjskie odznaczenie o nazwie Gwiazda Włoch?,Za udział w walkach na terenie Włoch i w śródziemnomorskim teatrze działań.
Kto sprawował funkcję alianckiego głównodowodzącego na obszarze Morza Śródziemnego?,Marsz. Harold Alexander.
Kto był opatem klasztoru na Monte Cassino w czasie działań wojennych?,Bp Gregorio Diamare.
